2024-10-07 03:59:51 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-10-07 03:59:51 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-10-07 03:59:51 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-10-07 03:59:51 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-10-07 03:59:51 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-10-07 03:59:51 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-10-07 03:59:51 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-10-07 03:59:52 install libnpth0:amd64 <none> 1.6-3
2024-10-07 03:59:52 status half-installed libnpth0:amd64 1.6-3
2024-10-07 03:59:52 status unpacked libnpth0:amd64 1.6-3
2024-10-07 03:59:52 install dirmngr:amd64 <none> 2.2.40-1.1
2024-10-07 03:59:52 status half-installed dirmngr:amd64 2.2.40-1.1
2024-10-07 03:59:53 status unpacked dirmngr:amd64 2.2.40-1.1
2024-10-07 03:59:53 install libfakeroot:amd64 <none> 1.31-1.2
2024-10-07 03:59:53 status half-installed libfakeroot:amd64 1.31-1.2
2024-10-07 03:59:53 status unpacked libfakeroot:amd64 1.31-1.2
2024-10-07 03:59:53 install fakeroot:amd64 <none> 1.31-1.2
2024-10-07 03:59:53 status half-installed fakeroot:amd64 1.31-1.2
2024-10-07 03:59:53 status unpacked fakeroot:amd64 1.31-1.2
2024-10-07 03:59:54 install fonts-dejavu-core:all <none> 2.37-6
2024-10-07 03:59:54 status half-installed fonts-dejavu-core:all 2.37-6
2024-10-07 03:59:54 status unpacked fonts-dejavu-core:all 2.37-6
2024-10-07 03:59:54 install fontconfig-config:amd64 <none> 2.14.1-4
2024-10-07 03:59:54 status half-installed fontconfig-config:amd64 2.14.1-4
2024-10-07 03:59:58 status unpacked fontconfig-config:amd64 2.14.1-4
2024-10-07 03:59:58 install gnupg-l10n:all <none> 2.2.40-1.1
2024-10-07 03:59:58 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-10-07 03:59:59 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-10-07 03:59:59 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-10-07 03:59:59 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-10-07 03:59:59 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-10-07 04:00:00 install gpg:amd64 <none> 2.2.40-1.1
2024-10-07 04:00:00 status half-installed gpg:amd64 2.2.40-1.1
2024-10-07 04:00:00 status unpacked gpg:amd64 2.2.40-1.1
2024-10-07 04:00:00 install pinentry-curses:amd64 <none> 1.2.1-1
2024-10-07 04:00:00 status half-installed pinentry-curses:amd64 1.2.1-1
2024-10-07 04:00:00 status unpacked pinentry-curses:amd64 1.2.1-1
2024-10-07 04:00:00 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-10-07 04:00:00 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-10-07 04:00:01 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-10-07 04:00:01 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-10-07 04:00:01 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-10-07 04:00:01 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-10-07 04:00:01 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-10-07 04:00:01 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-10-07 04:00:01 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-10-07 04:00:02 install gpgsm:amd64 <none> 2.2.40-1.1
2024-10-07 04:00:02 status half-installed gpgsm:amd64 2.2.40-1.1
2024-10-07 04:00:02 status unpacked gpgsm:amd64 2.2.40-1.1
2024-10-07 04:00:02 install gnupg:all <none> 2.2.40-1.1
2024-10-07 04:00:02 status half-installed gnupg:all 2.2.40-1.1
2024-10-07 04:00:02 status unpacked gnupg:all 2.2.40-1.1
2024-10-07 04:00:02 install javascript-common:all <none> 11+nmu1
2024-10-07 04:00:02 status half-installed javascript-common:all 11+nmu1
2024-10-07 04:00:03 status unpacked javascript-common:all 11+nmu1
2024-10-07 04:00:03 install libabsl20220623:amd64 <none> 20220623.1-1
2024-10-07 04:00:03 status half-installed libabsl20220623:amd64 20220623.1-1
2024-10-07 04:00:03 status unpacked libabsl20220623:amd64 20220623.1-1
2024-10-07 04:00:04 install libalgorithm-diff-perl:all <none> 1.201-1
2024-10-07 04:00:04 status half-installed libalgorithm-diff-perl:all 1.201-1
2024-10-07 04:00:04 status unpacked libalgorithm-diff-perl:all 1.201-1
2024-10-07 04:00:04 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-8+b1
2024-10-07 04:00:04 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-8+b1
2024-10-07 04:00:04 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-8+b1
2024-10-07 04:00:04 install libalgorithm-merge-perl:all <none> 0.08-5
2024-10-07 04:00:04 status half-installed libalgorithm-merge-perl:all 0.08-5
2024-10-07 04:00:04 status unpacked libalgorithm-merge-perl:all 0.08-5
2024-10-07 04:00:05 install libaom3:amd64 <none> 3.6.0-1+deb12u1
2024-10-07 04:00:05 status half-installed libaom3:amd64 3.6.0-1+deb12u1
2024-10-07 04:00:05 status unpacked libaom3:amd64 3.6.0-1+deb12u1
2024-10-07 04:00:05 install libdav1d6:amd64 <none> 1.0.0-2+deb12u1
2024-10-07 04:00:05 status half-installed libdav1d6:amd64 1.0.0-2+deb12u1
2024-10-07 04:00:06 status unpacked libdav1d6:amd64 1.0.0-2+deb12u1
2024-10-07 04:00:06 install libgav1-1:amd64 <none> 0.18.0-1+b1
2024-10-07 04:00:06 status half-installed libgav1-1:amd64 0.18.0-1+b1
2024-10-07 04:00:06 status unpacked libgav1-1:amd64 0.18.0-1+b1
2024-10-07 04:00:06 install librav1e0:amd64 <none> 0.5.1-6
2024-10-07 04:00:06 status half-installed librav1e0:amd64 0.5.1-6
2024-10-07 04:00:07 status unpacked librav1e0:amd64 0.5.1-6
2024-10-07 04:00:07 install libsvtav1enc1:amd64 <none> 1.4.1+dfsg-1
2024-10-07 04:00:07 status half-installed libsvtav1enc1:amd64 1.4.1+dfsg-1
2024-10-07 04:00:08 status unpacked libsvtav1enc1:amd64 1.4.1+dfsg-1
2024-10-07 04:00:08 install libjpeg62-turbo:amd64 <none> 1:2.1.5-2
2024-10-07 04:00:08 status half-installed libjpeg62-turbo:amd64 1:2.1.5-2
2024-10-07 04:00:08 status unpacked libjpeg62-turbo:amd64 1:2.1.5-2
2024-10-07 04:00:08 install libyuv0:amd64 <none> 0.0~git20230123.b2528b0-1
2024-10-07 04:00:08 status half-installed libyuv0:amd64 0.0~git20230123.b2528b0-1
2024-10-07 04:00:09 status unpacked libyuv0:amd64 0.0~git20230123.b2528b0-1
2024-10-07 04:00:09 install libavif15:amd64 <none> 0.11.1-1
2024-10-07 04:00:09 status half-installed libavif15:amd64 0.11.1-1
2024-10-07 04:00:09 status unpacked libavif15:amd64 0.11.1-1
2024-10-07 04:00:09 install libelf1:amd64 <none> 0.188-2.1
