2024-09-04 22:55:02 status half-configured wget:amd64 1.21.3-1+b2
2024-09-04 22:55:02 status installed wget:amd64 1.21.3-1+b2
2024-09-04 22:55:02 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2024-09-04 22:55:02 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-09-04 22:55:02 status half-configured libbrotli1:amd64 1.0.9-2+b6
2024-09-04 22:55:02 status installed libbrotli1:amd64 1.0.9-2+b6
2024-09-04 22:55:02 configure libsqlite3-0:amd64 3.40.1-2 <none>
2024-09-04 22:55:02 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-09-04 22:55:02 status half-configured libsqlite3-0:amd64 3.40.1-2
2024-09-04 22:55:02 status installed libsqlite3-0:amd64 3.40.1-2
2024-09-04 22:55:02 configure libssl3:amd64 3.0.14-1~deb12u2 <none>
2024-09-04 22:55:02 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 22:55:02 status half-configured libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 22:55:02 status installed libssl3:amd64 3.0.14-1~deb12u2
2024-09-04 22:55:02 configure libnghttp2-14:amd64 1.52.0-1+deb12u1 <none>
2024-09-04 22:55:02 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-09-04 22:55:02 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-09-04 22:55:02 status installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-09-04 22:55:02 configure libnpth0:amd64 1.6-3 <none>
2024-09-04 22:55:02 status unpacked libnpth0:amd64 1.6-3
2024-09-04 22:55:02 status half-configured libnpth0:amd64 1.6-3
2024-09-04 22:55:02 status installed libnpth0:amd64 1.6-3
2024-09-04 22:55:02 configure sq:amd64 0.27.0-2+b1 <none>
2024-09-04 22:55:02 status unpacked sq:amd64 0.27.0-2+b1
2024-09-04 22:55:02 status half-configured sq:amd64 0.27.0-2+b1
2024-09-04 22:55:02 status installed sq:amd64 0.27.0-2+b1
2024-09-04 22:55:02 configure libassuan0:amd64 2.5.5-5 <none>
2024-09-04 22:55:02 status unpacked libassuan0:amd64 2.5.5-5
2024-09-04 22:55:02 status half-configured libassuan0:amd64 2.5.5-5
2024-09-04 22:55:02 status installed libassuan0:amd64 2.5.5-5
2024-09-04 22:55:02 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2024-09-04 22:55:02 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-09-04 22:55:02 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-04 22:55:02 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-04 22:55:02 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-04 22:55:02 configure gnupg-l10n:all 2.2.40-1.1 <none>
2024-09-04 22:55:02 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-09-04 22:55:02 status half-configured gnupg-l10n:all 2.2.40-1.1
2024-09-04 22:55:02 status installed gnupg-l10n:all 2.2.40-1.1
2024-09-04 22:55:02 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-09-04 22:55:02 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-09-04 22:55:02 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-09-04 22:55:02 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-09-04 22:55:02 configure libncursesw6:amd64 6.4-4 <none>
2024-09-04 22:55:02 status unpacked libncursesw6:amd64 6.4-4
2024-09-04 22:55:02 status half-configured libncursesw6:amd64 6.4-4
2024-09-04 22:55:02 status installed libncursesw6:amd64 6.4-4
2024-09-04 22:55:02 configure libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2024-09-04 22:55:02 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-09-04 22:55:02 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-04 22:55:02 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-04 22:55:02 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-04 22:55:02 configure libssh2-1:amd64 1.10.0-3+b1 <none>
2024-09-04 22:55:02 status unpacked libssh2-1:amd64 1.10.0-3+b1
2024-09-04 22:55:02 status half-configured libssh2-1:amd64 1.10.0-3+b1
2024-09-04 22:55:02 status installed libssh2-1:amd64 1.10.0-3+b1
2024-09-04 22:55:02 configure netbase:all 6.4 <none>
2024-09-04 22:55:02 status unpacked netbase:all 6.4
2024-09-04 22:55:02 status half-configured netbase:all 6.4
2024-09-04 22:55:02 status installed netbase:all 6.4
2024-09-04 22:55:02 configure libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2024-09-04 22:55:02 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:02 configure openssl:amd64 3.0.14-1~deb12u2 <none>
2024-09-04 22:55:02 status unpacked openssl:amd64 3.0.14-1~deb12u2
2024-09-04 22:55:02 status half-configured openssl:amd64 3.0.14-1~deb12u2
2024-09-04 22:55:02 status installed openssl:amd64 3.0.14-1~deb12u2
2024-09-04 22:55:02 configure readline-common:all 8.2-1.3 <none>
2024-09-04 22:55:02 status unpacked readline-common:all 8.2-1.3
2024-09-04 22:55:02 status half-configured readline-common:all 8.2-1.3
2024-09-04 22:55:02 status installed readline-common:all 8.2-1.3
2024-09-04 22:55:02 configure pinentry-curses:amd64 1.2.1-1 <none>
2024-09-04 22:55:02 status unpacked pinentry-curses:amd64 1.2.1-1
2024-09-04 22:55:02 status half-configured pinentry-curses:amd64 1.2.1-1
2024-09-04 22:55:02 status installed pinentry-curses:amd64 1.2.1-1
